TIME,TARGET_BIN,DETECTED_BIN
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:41,R,
19:24:59,P,P
19:24:59,P,
19:24:59,P,
19:25:03,R,R
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
19:25:03,R,
